transaction_id,location_id,supplier_id,time_id,customer_id,demand_cylinders,supply_cylinders,shortage_cylinders,price_per_cylinder,subsidy_amount,delivery_delay_days,stock_available,transport_cost,weather_impact_score,strike_impact_flag,festival_demand_flag,emergency_supply_flag,warehouse_capacity,fulfilled_orders,unfulfilled_orders
61,48,7,218,10,44,41,14,1111.04,110.73,5,192,178.63,0.11,1,0,0,374,10,5
62,19,12,105,42,32,18,1,1073.33,112.92,0,331,62.52,0.52,0,1,0,231,37,5
63,4,19,77,29,27,23,14,877.46,103.25,3,163,97.97,0.11,1,0,0,359,27,13
64,35,15,87,57,34,38,6,1084.71,98.8,5,67,86.18,0.86,1,1,1,543,6,13
65,49,14,31,35,22,14,11,1059.26,58.19,9,470,184.73,0.57,0,0,1,197,32,0
66,17,16,100,28,3,23,11,838.49,56.84,3,143,94.43,0.59,0,0,0,581,10,6
67,44,14,155,12,17,48,4,1058.48,238.22,9,23,85.63,0.82,0,1,0,350,14,13
68,28,3,292,58,14,35,5,1150.04,184.66,3,176,94.11,0.31,0,1,0,376,4,19
69,30,18,315,44,27,33,5,965.3,81.99,7,239,181.37,0.9,1,1,1,817,5,4
70,29,6,106,7,39,38,18,853.42,234.81,6,233,78.58,0.15,1,1,1,288,7,13
71,46,17,230,16,20,1,14,1044.25,178.68,5,210,77.68,0.8,0,1,0,371,19,12
72,6,14,3,84,46,6,8,895.59,143.1,0,416,175.68,0.37,1,0,0,199,48,18
73,35,14,222,93,31,21,12,1018.02,185.5,9,80,75.79,0.1,0,0,0,117,39,16
74,41,20,121,35,41,27,2,1067.7,91.24,3,66,125.41,0.58,0,1,0,416,19,9
75,37,13,160,92,31,5,14,1004.11,222.35,9,145,122.51,0.69,0,1,0,172,10,10
76,24,3,271,7,29,27,1,923.44,70.86,2,380,51.64,0.82,0,1,1,122,3,19
77,29,13,331,86,42,44,1,1142.82,167.02,0,311,141.25,0.07,1,0,1,373,25,6
78,49,2,194,14,43,6,6,854.37,253.23,6,462,150.77,0.01,1,1,1,522,33,7
79,46,9,218,59,32,40,13,817.12,156.82,5,141,80.32,0.16,0,1,1,381,11,15
80,31,13,191,100,30,25,12,1131.5,152.21,1,176,136.62,0.37,1,1,0,396,26,3
81,35,8,252,62,43,5,11,813.67,194.36,8,247,71.61,0.51,1,0,0,539,45,14
82,33,16,226,74,27,15,6,994.88,94.18,3,93,161.12,0,0,0,1,765,33,11
83,21,3,1,66,19,46,1,1015.13,296.73,4,344,130.35,0.24,1,0,1,886,20,1
84,32,13,133,22,28,48,14,935.35,210.41,1,188,111.64,0.31,1,1,1,292,27,14
85,23,4,90,16,45,38,3,910.34,100.75,4,263,194.23,0.32,0,0,1,455,27,15
86,33,18,6,99,10,17,17,1096.1,190.31,2,345,192.97,0.48,0,0,0,813,4,12
87,3,2,244,75,16,17,5,946.54,263.41,7,9,55.71,0.1,0,1,1,347,33,6
88,18,20,133,43,31,48,10,849.49,252.73,2,9,94.78,0.76,0,0,1,387,10,16
89,25,15,116,97,10,33,6,985.27,283.43,1,301,86.03,0.39,0,0,1,244,36,2
90,42,17,73,98,10,18,7,1090.55,46.2,2,306,192.97,0.3,1,1,0,422,7,15
91,31,10,156,97,28,36,9,923.25,95.48,8,378,77.6,0.05,1,0,0,415,38,14
92,3,1,211,83,12,3,6,852.84,283.46,7,141,58.21,0.47,1,0,1,431,11,5
93,40,6,69,20,33,25,6,936.44,195.46,1,323,80.29,0.92,0,1,0,961,5,2
94,46,3,300,10,28,35,5,1018.19,274.94,2,285,162.85,0.38,0,0,0,134,38,1
95,24,19,144,19,18,45,3,840.69,76.45,4,367,127.1,0.82,1,1,1,132,18,9
96,50,7,199,12,28,20,8,893.82,222.61,6,279,195.09,0.39,0,1,0,548,45,9
97,32,13,206,10,28,36,3,1188.33,154.54,0,385,171.76,0.91,1,0,0,231,3,12
98,47,13,201,71,43,43,2,881.66,195.23,3,123,79.57,0.3,1,1,1,105,2,11
99,22,17,239,56,39,31,11,825.4,169.88,9,145,106.65,0.27,1,1,1,772,37,12
100,23,1,68,11,14,21,10,972.86,219.38,4,15,172.25,0.81,0,0,1,253,32,0
101,2,14,171,80,8,37,10,829.53,61.67,9,235,160.39,0.52,1,1,0,983,43,13
102,27,3,297,97,30,34,7,805.42,292.67,8,230,99.56,0.75,1,0,1,700,9,11
103,42,14,70,61,36,38,8,806.2,153.09,2,349,138.47,0.93,0,1,0,394,42,5
104,2,1,287,38,3,37,5,918.58,246.04,5,393,137.68,0.18,0,1,0,491,46,18
105,26,16,17,17,10,1,2,829.52,6.08,8,303,181.79,0.35,1,1,1,387,10,19
106,17,10,137,54,9,31,9,877.16,45.46,2,67,53.16,0.28,1,1,0,181,7,14
107,40,13,219,45,47,23,12,1059.3,99.94,9,471,88.84,0.35,0,1,0,520,3,10
108,33,4,311,25,40,43,8,915.34,212.86,2,448,156.68,0.12,0,1,0,907,13,13
109,9,9,6,31,13,38,17,1030.2,92.65,6,250,147.13,0.25,0,1,1,344,42,0
110,43,14,198,65,22,49,2,964.52,232.99,7,344,101.22,0.44,1,1,0,174,37,12
111,48,4,132,39,24,11,6,1153.89,39.45,3,412,178.86,0.12,0,1,1,223,22,10
112,39,10,363,20,7,39,4,1078.57,133.19,1,181,160.25,0.89,0,0,1,914,27,14
113,29,8,344,73,13,48,15,1141,95.74,6,88,139.85,0.83,0,1,0,805,12,3
114,42,3,184,43,6,20,8,1007.56,29.49,5,240,86.82,0.51,1,0,1,357,37,16
115,26,7,18,66,10,37,12,1112.48,217.6,0,353,94.68,0.06,0,0,0,874,25,17
116,35,10,213,1,11,7,11,1046.23,263.38,1,229,146.92,0.2,1,0,1,347,49,11
117,50,3,48,55,29,35,0,1097.57,262.47,6,218,194.75,0.82,1,1,0,281,33,0
118,25,2,29,51,16,2,17,1073.84,79.84,8,388,178.01,0.7,0,0,0,119,13,4
119,24,15,153,5,20,33,5,920.2,290.14,5,375,81.35,0.83,1,1,1,643,9,13
120,13,9,332,12,21,40,16,850.17,240.2,7,85,162.18,0.05,1,0,1,111,38,11
121,7,15,238,14,29,24,18,1122.57,71.72,4,274,190.52,0.3,1,0,0,237,3,8
122,36,17,319,60,14,39,19,830.93,263.04,6,50,64.76,0.25,0,0,1,272,21,5
123,45,7,265,96,41,10,5,1042.07,57.37,5,363,151.98,0.67,1,1,1,936,4,15
124,20,20,199,40,16,46,4,1195.51,44.46,1,405,62.72,0.17,1,1,1,249,2,10
125,1,18,14,9,9,9,1,873.08,264,9,391,50.7,0.07,0,1,0,446,33,7
126,8,15,276,42,6,43,9,1097.39,277.34,5,472,196.31,0.76,0,0,0,258,12,19
127,46,18,10,42,38,33,10,1181.26,135.75,9,419,81.41,0.59,1,1,1,990,12,18
128,16,12,139,33,29,21,1,998.19,195.98,6,218,169.92,0.4,0,0,1,381,6,15
129,14,8,167,25,18,14,17,1029.2,96.09,3,446,133.72,0.44,0,0,0,251,21,5
130,12,2,147,78,24,23,15,947.07,229.52,2,146,144.48,0.45,1,1,1,318,46,4
131,23,2,245,9,17,12,2,976.71,251.17,9,431,72.73,0.4,0,1,0,140,41,0
132,15,5,70,91,36,22,10,1052.04,60.23,8,314,163.55,0.22,0,0,0,908,11,14
133,28,1,328,44,21,28,2,1148.58,207.9,5,284,100.76,0.87,1,1,0,935,30,3
134,34,4,321,83,19,27,5,1180.93,266.03,9,92,140.48,0.06,0,1,0,661,30,1
135,2,6,104,58,23,10,4,1017.29,230.29,1,126,109.81,0.43,1,0,1,570,15,1
136,32,13,229,25,27,18,9,1112.9,237.9,8,335,76.9,0.44,0,1,0,863,13,9
137,23,19,316,32,11,24,19,1094.59,69.06,2,255,70.35,0.25,1,0,1,136,24,10
138,22,11,138,22,26,3,10,898.81,247.8,9,359,108.93,0.79,1,0,0,604,21,12
139,25,13,319,93,11,4,17,984.74,152.4,3,186,51.11,0.44,0,1,1,983,33,2
140,22,8,36,55,43,30,6,1073.41,3.58,4,373,194.59,0.24,0,0,0,877,33,18
141,22,7,118,92,22,21,15,851.56,200.34,0,288,92.99,0.65,0,1,1,156,32,2
142,49,13,255,61,19,22,14,1153.59,232.77,3,104,151.33,0.16,1,0,0,151,9,3
143,42,1,313,57,8,28,7,961.02,234.54,7,239,135.84,0.32,1,1,1,815,14,4
144,6,6,335,77,23,9,7,981.4,279.89,4,441,159.62,0.97,1,1,1,336,22,10
145,15,7,20,61,48,44,1,1147.9,25.76,2,340,174.3,0.88,0,1,1,627,11,2
146,43,16,298,92,23,41,14,868.9,56.35,6,492,181.45,0.67,0,1,0,210,31,14
147,37,15,21,67,40,41,14,814.21,277.86,0,464,150.57,0.25,1,0,1,396,39,15
148,33,20,256,94,9,16,11,914.41,225.19,2,316,108.21,0.68,1,0,0,897,4,9
149,8,2,248,75,24,37,10,860.09,125.13,4,98,124.09,0.37,0,1,1,655,34,2
150,44,16,166,2,12,5,4,1194.23,41.53,8,218,105.02,0.19,0,0,0,887,9,15
151,44,17,349,57,12,14,8,1026.47,251.18,4,49,192.55,0.25,1,1,0,966,32,3
152,5,15,255,73,32,14,11,1025.81,93.23,3,230,98.06,0.25,1,1,1,293,7,9
153,39,3,78,33,2,47,1,1117.64,250.19,7,37,89.71,0.26,1,1,1,725,47,6
154,4,4,280,90,6,16,2,903.41,167.17,3,124,132.29,0.21,1,0,0,769,38,7
155,6,12,282,63,4,39,5,1009.07,161.08,4,229,64.3,0.92,0,1,0,903,10,9
156,45,5,365,16,13,43,19,856.86,180.79,4,382,182.67,0.5,0,1,0,128,47,16
157,32,17,34,89,36,4,18,837.4,125.92,2,229,197.87,0.28,1,0,1,981,23,0
158,30,6,99,1,41,37,7,975.88,33,8,45,102.26,0.73,1,0,1,817,16,15
159,47,10,143,85,39,14,16,1165.16,175.74,0,258,67.38,1,1,0,0,665,8,19
160,35,18,55,64,38,41,8,976.43,126.49,6,277,91.62,0.01,0,1,0,648,48,9
161,40,10,3,84,18,23,0,980.69,137.75,7,474,112.83,0.68,1,0,0,745,48,7
162,16,6,332,69,15,9,12,1146.04,180.09,8,380,175.8,0.63,0,1,0,561,16,3
163,13,6,219,17,48,24,17,914.42,42.6,4,272,195.16,0.61,1,1,1,365,24,8
164,50,20,211,40,33,11,19,995.95,71.83,9,62,157.96,0.29,0,1,1,635,44,12
165,42,15,305,1,42,28,19,865.76,86.2,4,263,189.87,0.23,0,1,0,976,5,10
166,30,4,149,13,30,19,11,1138.47,113.15,0,247,77.14,0.48,1,0,1,702,34,7
167,19,16,232,18,36,19,11,814.88,29.22,7,355,189.36,0.85,0,1,0,542,40,13
168,17,8,88,68,25,12,11,965.24,46.92,5,193,136.82,0.59,1,1,1,631,12,19
169,19,7,211,14,4,47,9,910.63,76.51,0,491,117.35,0.07,1,0,0,110,38,3
170,28,19,223,5,18,34,7,902.91,208.42,7,339,118.08,0.7,0,1,0,812,29,8
171,26,17,296,62,45,12,11,897.67,201.18,4,363,192.94,0.74,0,1,0,960,14,4
172,37,13,148,33,33,3,15,947.81,2.75,4,102,104.81,0.5,1,1,0,604,41,9
173,26,15,207,26,20,30,17,1160.6,21.2,5,77,73.32,0.9,1,1,0,506,32,5
174,23,2,360,61,42,47,16,1083.51,149.71,4,458,138.78,0.2,1,0,1,686,38,1
175,9,10,227,68,21,46,10,1155.77,127.52,8,68,66.64,0.75,0,1,0,723,4,10
176,12,13,360,30,1,35,8,878.58,88.28,6,453,156.85,0.39,1,0,0,577,5,17
177,1,18,184,62,34,15,2,1139.65,150.21,8,153,50.11,0.61,0,0,0,547,7,2
178,1,11,41,62,9,43,3,971.94,59.99,2,30,111.27,0.3,0,0,1,723,3,2
179,47,13,182,81,1,22,16,1192.43,40.55,9,224,169.97,0.56,0,1,0,168,38,5
180,34,19,44,92,47,9,7,1037.46,20.9,8,433,111.35,0.22,1,0,0,390,19,15
181,32,5,210,70,27,28,16,994.95,21.52,9,443,164.85,0.2,1,0,0,323,35,3
182,48,3,337,57,15,29,4,1170.08,59.3,6,105,155.55,0.39,1,0,1,502,7,0
183,25,19,250,91,24,39,15,952.53,237.31,0,28,150.46,0.48,0,0,0,842,26,13
184,40,13,84,36,25,39,16,1099.5,240.77,8,474,112.09,0.78,1,0,1,522,47,1
185,45,5,139,7,34,39,7,989.35,273.74,7,312,187.76,0.94,0,0,1,643,46,10
186,1,12,231,65,44,17,11,1093.44,198.37,4,128,104.01,0.03,0,1,0,755,42,11
187,16,14,12,74,10,4,14,910.27,112.76,0,134,107.23,0.47,1,1,1,258,36,15
188,39,6,273,77,30,4,4,962.67,38.57,6,413,154.62,0.27,1,0,0,319,41,8
189,5,9,90,41,45,7,9,938.13,65.73,2,247,161.96,0.45,0,1,1,927,32,5
190,22,17,25,32,41,2,14,1147.53,131.89,4,178,97.2,0.36,1,0,0,609,27,3
191,29,8,26,14,25,37,8,1171.42,74.77,0,49,169.43,0.32,1,1,1,271,38,7
192,3,13,153,33,3,10,14,1094.21,94.52,4,132,174.03,0.84,0,1,1,794,35,12
193,12,5,60,30,22,18,14,1128.64,283.24,0,445,56.81,0.91,0,0,0,710,42,2
194,26,17,60,73,40,28,15,941.56,115.78,0,228,120.44,0.91,0,1,0,917,7,8
195,16,3,283,6,46,46,7,860.26,45.92,1,7,148.94,0.36,1,0,1,183,37,19
196,37,6,171,10,24,35,18,1074.63,103.81,4,210,87.58,0.22,0,0,0,993,27,9
197,22,14,76,75,27,35,12,1054.92,11.47,3,29,149.33,0.82,0,1,1,860,35,8
198,29,15,276,20,26,30,13,905.51,185.01,2,38,76.55,0.72,0,0,1,804,21,1
199,14,14,208,89,16,21,2,1164.95,216.19,8,311,51.55,0.82,1,0,1,681,27,9
200,28,11,155,12,38,25,4,943.02,121.03,0,10,137.13,0.96,1,0,0,378,28,2
201,5,11,180,22,41,13,18,1126.09,165.37,4,151,60.01,0.07,0,1,0,494,11,0
202,47,9,82,76,4,7,2,851.64,262.16,0,334,117.77,0.4,1,1,1,836,34,14
203,49,6,10,14,23,6,15,914.69,61.7,7,321,115.11,0.93,1,0,1,501,45,0
204,30,15,243,48,19,20,7,1045.77,49.39,2,81,192.81,0.86,1,1,1,557,45,14
205,46,12,178,54,15,45,3,896.77,77.6,2,188,68.11,0.13,1,0,0,187,12,3
206,5,6,286,36,31,5,11,1182.6,65.8,2,372,125.08,0.57,1,0,1,365,45,0
207,12,1,257,61,24,38,15,1020.63,262.61,5,91,167.84,0.99,1,1,0,836,7,7
208,16,16,310,55,11,44,16,1092.58,13.73,2,296,65.86,0.62,0,1,0,533,15,15
209,26,20,4,14,10,40,4,1024.6,25.3,6,164,146.2,0.18,0,1,0,745,49,0
210,26,15,215,2,8,25,14,962.7,282.18,8,295,193.87,0.63,1,0,0,475,12,18
211,48,2,30,2,3,18,4,1128.86,117.71,7,150,52.23,0.83,1,0,0,201,42,15
212,21,17,346,61,19,24,19,809.05,148.64,1,83,120.18,0.02,0,0,0,632,24,9
213,39,3,65,6,4,15,15,970.72,174.03,8,304,178.24,0.59,0,0,0,143,9,7
214,36,3,124,25,29,8,5,1152.45,234.72,2,129,77.43,0.14,0,1,0,110,48,2
215,33,5,285,67,45,13,3,834.05,213.61,9,405,142.16,0.28,0,1,1,647,22,3
216,30,17,153,23,41,39,7,882.98,111.74,2,323,134.8,0.83,0,0,1,636,41,10
217,37,17,40,73,21,48,10,1184.25,240.52,3,125,153.34,0.64,1,1,1,211,47,6
218,23,20,26,95,45,25,10,1183.59,223.97,7,212,159.31,0.7,1,1,1,287,38,5
219,10,6,273,28,9,23,10,953.82,263.68,8,134,139.62,0.1,0,0,0,487,39,16
220,5,1,159,25,48,5,16,1100.91,75.57,2,161,165.46,0.28,1,0,1,985,40,16
221,36,7,189,99,18,22,11,1050.32,28.48,5,181,84.4,0.11,1,1,0,477,27,2
222,34,15,264,65,19,47,13,997.2,31.74,3,92,181.04,0.56,1,1,0,373,39,15
223,31,7,69,66,17,22,7,1125.57,163.42,5,473,186.82,0.16,1,1,0,643,9,9
224,10,19,1,79,44,25,19,1060.35,78.6,5,233,84.18,0.03,0,0,1,322,8,14
225,19,20,79,43,43,47,17,836.42,13.44,4,373,198.52,0.54,0,0,1,667,27,8
226,32,11,228,40,24,1,1,1135.85,251.04,8,260,167.86,0.69,1,0,0,300,29,5
227,1,14,327,80,49,4,2,909.77,258.73,2,203,65.03,0.34,0,0,0,261,5,15
228,5,13,46,23,6,32,10,1053.18,110.05,4,157,108,0.99,0,1,0,150,11,6
229,45,20,108,49,31,26,19,1110.18,39.39,4,191,51.12,0.37,0,1,0,708,36,16
230,4,9,355,99,27,36,4,1159.06,74.6,3,177,117.84,0.71,0,1,0,376,25,16
231,16,9,124,8,47,15,7,1170.1,203.29,4,150,153.19,0.49,1,0,0,533,36,18
232,24,16,148,7,34,35,6,1170.32,206.33,2,64,104.45,0.77,1,0,1,948,41,18
233,16,12,252,21,46,38,7,1062.87,210.55,5,189,73.93,0.91,0,0,0,731,29,1
234,2,10,2,35,27,27,18,1049.67,256.54,3,239,193.65,0.82,0,1,1,529,4,5
235,49,6,222,97,27,14,10,805.9,265.18,9,185,72.91,0.7,0,1,1,654,23,12
236,28,18,189,99,35,34,17,833.82,296.82,4,493,195.91,0.7,0,1,0,216,25,8
237,32,2,71,82,12,25,15,957.03,105.97,3,291,150.44,0.63,0,1,0,388,14,16
238,27,20,359,61,29,27,18,1117.14,273.79,2,495,70.61,0.72,0,0,0,427,46,16
239,20,9,333,83,6,21,14,1036.83,192.59,1,169,176.19,0.94,0,0,1,963,39,10
240,24,19,97,74,37,48,14,894.1,36.71,1,95,181.66,0.38,0,1,0,349,21,18
241,12,6,232,68,7,35,16,849.15,177.96,3,326,72.39,0.27,0,0,0,815,31,19
242,50,2,30,30,6,6,14,987.28,113.71,6,20,137.33,0.09,0,0,1,836,4,3
243,35,15,30,97,19,35,7,1165.18,22.15,5,363,182.69,0.85,1,0,1,660,19,10
244,33,17,215,68,14,26,10,821.25,74.13,8,17,165.89,0.14,0,0,1,978,7,16
245,33,16,173,9,21,15,2,985.06,213.89,8,70,80.99,0.21,1,0,0,364,1,19
246,43,8,280,17,14,5,12,823.61,104.4,8,495,64.53,0.94,0,0,1,275,9,7
247,37,10,211,43,40,26,5,900.03,193.64,3,211,137.25,0.9,0,0,1,316,5,19
248,12,10,317,88,14,33,8,1181.52,272.63,5,246,122.26,0.97,0,0,0,483,5,7
249,3,18,125,57,32,25,19,841.87,177.11,0,423,195.34,0.27,0,1,1,284,39,19
250,1,10,80,13,26,17,15,820.34,285.95,9,427,114.64,0.54,0,0,1,770,32,13
251,33,9,184,57,3,44,11,834.87,102.99,9,52,71.58,0.33,0,1,0,993,45,7
252,40,19,15,26,15,20,16,1076.67,262.89,5,306,106.91,0.8,1,0,0,245,38,0
253,10,1,11,61,21,42,1,804.86,289.03,7,236,57.25,0.29,1,1,1,852,7,10
254,43,4,342,62,30,2,0,957.46,155.41,3,422,120.8,0.98,0,1,1,611,11,6
255,44,3,89,19,48,8,15,1181.34,109.1,7,116,198.37,0.18,0,1,0,294,6,8
256,29,10,3,81,47,19,4,827.55,105.28,8,184,154.54,0.98,0,1,0,326,11,13
257,13,12,24,30,14,29,16,1172.83,127.26,8,131,107.41,0.43,0,0,0,370,34,11
258,12,18,89,90,47,48,16,847.02,198.24,0,275,185.83,0.21,0,1,0,315,49,8
259,31,20,9,13,39,19,7,851.11,131.6,1,388,94.71,0.48,1,0,1,620,48,8
260,46,6,46,49,37,9,14,1041.93,228.88,5,137,126.34,0.9,1,1,1,647,40,11
261,2,2,94,82,41,8,11,897.58,207.12,0,40,173.19,0.58,1,1,0,454,33,10
262,50,10,71,85,48,49,16,801.22,97.55,6,441,154.58,0.42,1,1,1,967,30,8
263,35,2,188,98,28,15,9,1099.79,241.74,3,364,57.64,0.23,0,1,0,834,23,1
264,23,9,139,51,2,34,11,948.34,227.37,3,69,183.56,0.44,0,1,1,477,16,10
265,17,10,10,9,22,4,19,1163.25,185.41,5,150,144.04,0.35,0,0,0,225,34,15
266,26,2,3,94,7,27,16,911.24,56.06,0,68,198.15,0.42,1,1,0,395,36,1
267,8,8,19,29,44,38,19,1067.72,151.85,1,150,186,0.26,0,0,1,922,13,11
268,29,17,130,93,32,47,11,930.55,135.82,9,75,119.62,0.67,0,1,1,650,40,3
269,26,17,221,83,16,13,7,859.33,5.97,9,346,164.83,0.81,1,0,0,565,9,0
270,10,4,130,8,36,32,17,1189.93,297.45,0,473,163.02,0.04,1,1,1,720,38,7
271,26,18,113,81,2,35,14,1035.27,212.46,6,430,55.7,0.56,0,1,1,620,48,17
272,34,12,138,76,17,48,8,1135.89,110.96,0,393,128.84,0.47,1,0,0,238,1,18
273,41,17,43,15,49,46,13,900.07,173.12,4,4,115.12,0.15,1,0,0,365,36,2
274,7,9,218,69,3,36,7,957.28,267.2,4,53,86.76,0.23,1,1,1,493,16,8
275,4,19,58,34,48,10,13,990.76,11.38,0,153,58.08,0.33,1,0,1,465,22,19
276,50,14,113,52,23,23,10,1051.85,77.63,9,112,142.68,0.53,0,0,1,305,48,3
277,45,14,188,50,37,23,12,957.95,284.37,6,317,113.47,0.17,1,0,1,494,49,4
278,11,17,122,67,39,4,6,898.95,4.72,1,477,53.33,0.89,1,1,0,904,1,6
279,29,2,85,5,28,44,10,875.95,174.33,0,412,197.4,0.42,1,1,0,841,42,9
280,36,8,106,98,45,5,11,1039.71,160.96,9,143,199.3,0.82,0,0,0,565,41,5
281,25,5,356,9,41,4,10,899.06,293.99,6,20,187.6,0.46,1,1,1,527,3,13
282,21,7,99,88,8,30,5,958.64,129,8,390,96.37,0.96,1,1,0,467,11,3
283,36,16,9,5,33,41,8,813.87,292.73,9,305,152.85,0.84,0,0,0,481,6,6
