time_id,date,day,month,quarter,year
58,2024-02-27,27,2,1,2024
59,2024-02-28,28,2,1,2024
60,2024-02-29,29,2,1,2024
61,2024-03-01,1,3,1,2024
62,2024-03-02,2,3,1,2024
63,2024-03-03,3,3,1,2024
64,2024-03-04,4,3,1,2024
65,2024-03-05,5,3,1,2024
66,2024-03-06,6,3,1,2024
67,2024-03-07,7,3,1,2024
68,2024-03-08,8,3,1,2024
69,2024-03-09,9,3,1,2024
70,2024-03-10,10,3,1,2024
71,2024-03-11,11,3,1,2024
72,2024-03-12,12,3,1,2024
73,2024-03-13,13,3,1,2024
74,2024-03-14,14,3,1,2024
75,2024-03-15,15,3,1,2024
76,2024-03-16,16,3,1,2024
77,2024-03-17,17,3,1,2024
78,2024-03-18,18,3,1,2024
79,2024-03-19,19,3,1,2024
80,2024-03-20,20,3,1,2024
81,2024-03-21,21,3,1,2024
82,2024-03-22,22,3,1,2024
83,2024-03-23,23,3,1,2024
84,2024-03-24,24,3,1,2024
85,2024-03-25,25,3,1,2024
86,2024-03-26,26,3,1,2024
87,2024-03-27,27,3,1,2024
88,2024-03-28,28,3,1,2024
89,2024-03-29,29,3,1,2024
90,2024-03-30,30,3,1,2024
91,2024-03-31,31,3,1,2024
92,2024-04-01,1,4,2,2024
93,2024-04-02,2,4,2,2024
94,2024-04-03,3,4,2,2024
95,2024-04-04,4,4,2,2024
96,2024-04-05,5,4,2,2024
97,2024-04-06,6,4,2,2024
98,2024-04-07,7,4,2,2024
99,2024-04-08,8,4,2,2024
100,2024-04-09,9,4,2,2024
101,2024-04-10,10,4,2,2024
102,2024-04-11,11,4,2,2024
103,2024-04-12,12,4,2,2024
104,2024-04-13,13,4,2,2024
105,2024-04-14,14,4,2,2024
106,2024-04-15,15,4,2,2024
107,2024-04-16,16,4,2,2024
108,2024-04-17,17,4,2,2024
109,2024-04-18,18,4,2,2024
110,2024-04-19,19,4,2,2024
111,2024-04-20,20,4,2,2024
112,2024-04-21,21,4,2,2024
113,2024-04-22,22,4,2,2024
114,2024-04-23,23,4,2,2024
115,2024-04-24,24,4,2,2024
116,2024-04-25,25,4,2,2024
117,2024-04-26,26,4,2,2024
118,2024-04-27,27,4,2,2024
119,2024-04-28,28,4,2,2024
120,2024-04-29,29,4,2,2024
121,2024-04-30,30,4,2,2024
122,2024-05-01,1,5,2,2024
123,2024-05-02,2,5,2,2024
124,2024-05-03,3,5,2,2024
125,2024-05-04,4,5,2,2024
126,2024-05-05,5,5,2,2024
127,2024-05-06,6,5,2,2024
128,2024-05-07,7,5,2,2024
129,2024-05-08,8,5,2,2024
130,2024-05-09,9,5,2,2024
131,2024-05-10,10,5,2,2024
132,2024-05-11,11,5,2,2024
133,2024-05-12,12,5,2,2024
134,2024-05-13,13,5,2,2024
135,2024-05-14,14,5,2,2024
136,2024-05-15,15,5,2,2024
137,2024-05-16,16,5,2,2024
138,2024-05-17,17,5,2,2024
139,2024-05-18,18,5,2,2024
140,2024-05-19,19,5,2,2024
141,2024-05-20,20,5,2,2024
142,2024-05-21,21,5,2,2024
143,2024-05-22,22,5,2,2024
144,2024-05-23,23,5,2,2024
145,2024-05-24,24,5,2,2024
146,2024-05-25,25,5,2,2024
147,2024-05-26,26,5,2,2024
148,2024-05-27,27,5,2,2024
149,2024-05-28,28,5,2,2024
150,2024-05-29,29,5,2,2024
151,2024-05-30,30,5,2,2024
152,2024-05-31,31,5,2,2024
153,2024-06-01,1,6,2,2024
154,2024-06-02,2,6,2,2024
155,2024-06-03,3,6,2,2024
156,2024-06-04,4,6,2,2024
157,2024-06-05,5,6,2,2024
158,2024-06-06,6,6,2,2024
159,2024-06-07,7,6,2,2024
160,2024-06-08,8,6,2,2024
161,2024-06-09,9,6,2,2024
162,2024-06-10,10,6,2,2024
163,2024-06-11,11,6,2,2024
164,2024-06-12,12,6,2,2024
165,2024-06-13,13,6,2,2024
166,2024-06-14,14,6,2,2024
167,2024-06-15,15,6,2,2024
168,2024-06-16,16,6,2,2024
169,2024-06-17,17,6,2,2024
170,2024-06-18,18,6,2,2024
171,2024-06-19,19,6,2,2024
172,2024-06-20,20,6,2,2024
173,2024-06-21,21,6,2,2024
174,2024-06-22,22,6,2,2024
175,2024-06-23,23,6,2,2024
176,2024-06-24,24,6,2,2024
177,2024-06-25,25,6,2,2024
178,2024-06-26,26,6,2,2024
179,2024-06-27,27,6,2,2024
180,2024-06-28,28,6,2,2024
181,2024-06-29,29,6,2,2024
182,2024-06-30,30,6,2,2024
183,2024-07-01,1,7,3,2024
184,2024-07-02,2,7,3,2024
185,2024-07-03,3,7,3,2024
186,2024-07-04,4,7,3,2024
187,2024-07-05,5,7,3,2024
188,2024-07-06,6,7,3,2024
189,2024-07-07,7,7,3,2024
190,2024-07-08,8,7,3,2024
191,2024-07-09,9,7,3,2024
192,2024-07-10,10,7,3,2024
193,2024-07-11,11,7,3,2024
194,2024-07-12,12,7,3,2024
195,2024-07-13,13,7,3,2024
196,2024-07-14,14,7,3,2024
197,2024-07-15,15,7,3,2024
198,2024-07-16,16,7,3,2024
199,2024-07-17,17,7,3,2024
200,2024-07-18,18,7,3,2024
201,2024-07-19,19,7,3,2024
202,2024-07-20,20,7,3,2024
203,2024-07-21,21,7,3,2024
204,2024-07-22,22,7,3,2024
205,2024-07-23,23,7,3,2024
206,2024-07-24,24,7,3,2024
207,2024-07-25,25,7,3,2024
208,2024-07-26,26,7,3,2024
209,2024-07-27,27,7,3,2024
210,2024-07-28,28,7,3,2024
211,2024-07-29,29,7,3,2024
212,2024-07-30,30,7,3,2024
213,2024-07-31,31,7,3,2024
214,2024-08-01,1,8,3,2024
215,2024-08-02,2,8,3,2024
216,2024-08-03,3,8,3,2024
217,2024-08-04,4,8,3,2024
218,2024-08-05,5,8,3,2024
219,2024-08-06,6,8,3,2024
220,2024-08-07,7,8,3,2024
221,2024-08-08,8,8,3,2024
222,2024-08-09,9,8,3,2024
223,2024-08-10,10,8,3,2024
224,2024-08-11,11,8,3,2024
225,2024-08-12,12,8,3,2024
226,2024-08-13,13,8,3,2024
227,2024-08-14,14,8,3,2024
228,2024-08-15,15,8,3,2024
229,2024-08-16,16,8,3,2024
230,2024-08-17,17,8,3,2024
231,2024-08-18,18,8,3,2024
232,2024-08-19,19,8,3,2024
233,2024-08-20,20,8,3,2024
234,2024-08-21,21,8,3,2024
235,2024-08-22,22,8,3,2024
236,2024-08-23,23,8,3,2024
237,2024-08-24,24,8,3,2024
238,2024-08-25,25,8,3,2024
239,2024-08-26,26,8,3,2024
240,2024-08-27,27,8,3,2024
241,2024-08-28,28,8,3,2024
242,2024-08-29,29,8,3,2024
243,2024-08-30,30,8,3,2024
244,2024-08-31,31,8,3,2024
245,2024-09-01,1,9,3,2024
246,2024-09-02,2,9,3,2024
247,2024-09-03,3,9,3,2024
248,2024-09-04,4,9,3,2024
249,2024-09-05,5,9,3,2024
250,2024-09-06,6,9,3,2024
251,2024-09-07,7,9,3,2024
252,2024-09-08,8,9,3,2024
253,2024-09-09,9,9,3,2024
254,2024-09-10,10,9,3,2024
255,2024-09-11,11,9,3,2024
256,2024-09-12,12,9,3,2024
257,2024-09-13,13,9,3,2024
258,2024-09-14,14,9,3,2024
259,2024-09-15,15,9,3,2024
260,2024-09-16,16,9,3,2024
261,2024-09-17,17,9,3,2024
262,2024-09-18,18,9,3,2024
263,2024-09-19,19,9,3,2024
264,2024-09-20,20,9,3,2024
265,2024-09-21,21,9,3,2024
266,2024-09-22,22,9,3,2024
267,2024-09-23,23,9,3,2024
268,2024-09-24,24,9,3,2024
269,2024-09-25,25,9,3,2024
270,2024-09-26,26,9,3,2024
271,2024-09-27,27,9,3,2024
272,2024-09-28,28,9,3,2024
273,2024-09-29,29,9,3,2024
274,2024-09-30,30,9,3,2024
275,2024-10-01,1,10,4,2024
276,2024-10-02,2,10,4,2024
277,2024-10-03,3,10,4,2024
278,2024-10-04,4,10,4,2024
279,2024-10-05,5,10,4,2024
280,2024-10-06,6,10,4,2024
281,2024-10-07,7,10,4,2024
282,2024-10-08,8,10,4,2024
283,2024-10-09,9,10,4,2024
284,2024-10-10,10,10,4,2024
285,2024-10-11,11,10,4,2024
286,2024-10-12,12,10,4,2024
287,2024-10-13,13,10,4,2024
288,2024-10-14,14,10,4,2024
289,2024-10-15,15,10,4,2024
290,2024-10-16,16,10,4,2024
291,2024-10-17,17,10,4,2024
292,2024-10-18,18,10,4,2024
293,2024-10-19,19,10,4,2024
294,2024-10-20,20,10,4,2024
295,2024-10-21,21,10,4,2024
296,2024-10-22,22,10,4,2024
297,2024-10-23,23,10,4,2024
298,2024-10-24,24,10,4,2024
299,2024-10-25,25,10,4,2024
300,2024-10-26,26,10,4,2024
301,2024-10-27,27,10,4,2024
302,2024-10-28,28,10,4,2024
303,2024-10-29,29,10,4,2024
304,2024-10-30,30,10,4,2024
305,2024-10-31,31,10,4,2024
306,2024-11-01,1,11,4,2024
307,2024-11-02,2,11,4,2024
308,2024-11-03,3,11,4,2024
309,2024-11-04,4,11,4,2024
310,2024-11-05,5,11,4,2024
311,2024-11-06,6,11,4,2024
312,2024-11-07,7,11,4,2024
313,2024-11-08,8,11,4,2024
314,2024-11-09,9,11,4,2024
315,2024-11-10,10,11,4,2024
316,2024-11-11,11,11,4,2024
317,2024-11-12,12,11,4,2024
318,2024-11-13,13,11,4,2024
319,2024-11-14,14,11,4,2024
320,2024-11-15,15,11,4,2024
321,2024-11-16,16,11,4,2024
322,2024-11-17,17,11,4,2024
323,2024-11-18,18,11,4,2024
324,2024-11-19,19,11,4,2024
325,2024-11-20,20,11,4,2024
326,2024-11-21,21,11,4,2024
327,2024-11-22,22,11,4,2024
328,2024-11-23,23,11,4,2024
329,2024-11-24,24,11,4,2024
330,2024-11-25,25,11,4,2024
331,2024-11-26,26,11,4,2024
332,2024-11-27,27,11,4,2024
333,2024-11-28,28,11,4,2024
334,2024-11-29,29,11,4,2024
335,2024-11-30,30,11,4,2024
336,2024-12-01,1,12,4,2024
337,2024-12-02,2,12,4,2024
338,2024-12-03,3,12,4,2024
339,2024-12-04,4,12,4,2024
340,2024-12-05,5,12,4,2024
341,2024-12-06,6,12,4,2024
342,2024-12-07,7,12,4,2024
343,2024-12-08,8,12,4,2024
344,2024-12-09,9,12,4,2024
345,2024-12-10,10,12,4,2024
346,2024-12-11,11,12,4,2024
347,2024-12-12,12,12,4,2024
348,2024-12-13,13,12,4,2024
349,2024-12-14,14,12,4,2024
350,2024-12-15,15,12,4,2024
351,2024-12-16,16,12,4,2024
352,2024-12-17,17,12,4,2024
353,2024-12-18,18,12,4,2024
354,2024-12-19,19,12,4,2024
355,2024-12-20,20,12,4,2024
356,2024-12-21,21,12,4,2024
357,2024-12-22,22,12,4,2024
358,2024-12-23,23,12,4,2024
359,2024-12-24,24,12,4,2024
360,2024-12-25,25,12,4,2024
361,2024-12-26,26,12,4,2024
362,2024-12-27,27,12,4,2024
363,2024-12-28,28,12,4,2024
364,2024-12-29,29,12,4,2024
365,2024-12-30,30,12,4,2024
